repo,pr_id,file_count,modified_files,modified_functions,total_additions,total_deletions,commit_messages
microsoft/vscode,324128,2,"['test/integration/browser/package-lock.json', 'test/integration/browser/package.json']",[],5,5,['build(deps-dev): bump tmp in /test/integration/browser\n\nBumps [tmp](https://github.com/raszi/node-tmp) from 0.2.6 to 0.2.7.\n- [Changelog](https://github.com/raszi/node-tmp/blob/master/CHANGELOG.md)\n- [Commits](https://github.com/raszi/node-tmp/compare/v0.2.6...v0.2.7)\n\n---\nupdated-dependencies:\n- dependency-name: tmp\n  dependency-version: 0.2.7\n  dependency-type: direct:development\n...\n\nSigned-off-by: dependabot[bot] <support@github.com>']
microsoft/vscode,324127,8,"['src/vs/sessions/contrib/providers/agentHost/browser/baseAgentHostSessionsProvider.ts', 'src/vs/workbench/api/browser/mainThreadLanguageModels.ts', 'src/vs/workbench/api/test/browser/mainThreadLanguageModels.test.ts', 'src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostLanguageModelProvider.ts', 'src/vs/workbench/contrib/chat/browser/widget/input/chatModelPicker.ts', 'src/vs/workbench/contrib/chat/common/languageModels.ts', 'src/vs/workbench/contrib/chat/test/browser/agentSessions/agentHostLanguageModelProvider.test.ts', 'src/vs/workbench/contrib/chat/test/browser/widget/input/chatModelPicker.test.ts']","['_modelGroupFor', 'NullLogService', 'getLanguageModelIds', 'registerLanguageModelProvider', 'TestExtensionService', 'createAgentHostModel']",252,4,"['mark all ext-contributed models as', 'enable manage models action', 'Group agent-host models in the picker by their upstream provider\n\nAdd an optional `modelGroup` metadata hint so agent-host models\n(which all share one vendor) are bucketed by upstream provider\ninstead of collapsing into a single section. Presentation-only;\nrouting stays by vendor. Includes provider and picker tests.', 'Add BYOK defaulting coverage for language model info\n\nCo-authored-by: vritant24 <13074644+vritant24@users.noreply.github.com>']"
microsoft/vscode,324125,1,['package.json'],[],1,1,['Update distro commit to 5b10bb5b3d400cf801a343ebe7ed2e9835df5ab4\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']
microsoft/vscode,324124,2,"['src/vs/workbench/services/configuration/browser/configuration.ts', 'src/vs/workbench/services/configuration/test/browser/configurationService.test.ts']","['initialize', 'consolidate', 'reload', 'resolveStandAloneContent']",79,13,"['Read remote user mcp.json into configuration model\n\nRemote user configuration only ever loaded settings.json, so mcp.json\non a remote host (WSL/SSH) was never parsed into the configuration\nmodel and never watched for changes. This left mcp inputs/servers\nundefined for remote windows, breaking input variable resolution when\nstarting an MCP server (#256546).\n\nMirrors the existing standalone-resource handling already used by the\nlocal user and workspace folder configuration layers.', 'Collapse test assertions into a single deepStrictEqual']"
microsoft/vscode,324121,2,"['extensions/copilot/src/extension/conversation/vscode-node/languageModelAccess.ts', 'extensions/copilot/src/extension/conversation/vscode-node/test/languageModelAccess.test.ts']",[],44,0,['Add handling for truncated responses in CopilotLanguageModelWrapper']
microsoft/vscode,324120,8,"['src/vs/workbench/contrib/chat/browser/actions/chatPluginActions.ts', 'src/vs/workbench/contrib/chat/browser/pluginInstallService.ts', 'src/vs/workbench/contrib/chat/browser/pluginUrlHandler.ts', 'src/vs/workbench/contrib/chat/common/plugins/AGENTS_PLUGINS.md', 'src/vs/workbench/contrib/chat/common/plugins/pluginInstallService.ts', 'src/vs/workbench/contrib/chat/common/plugins/pluginMarketplaceService.ts', 'src/vs/workbench/contrib/chat/test/browser/plugins/pluginInstallService.test.ts', 'src/vs/workbench/contrib/chat/test/browser/plugins/pluginUrlHandler.test.ts']","['isPluginDirectory', '_addPluginLocationToConfig', '_resolveLocalDirectorySource', '_installDiscoveredPlugins', 'localize', '_doInstallFromLocalSource', '_isLocalPathSource', 'installPluginFromSource']",388,98,"['Support local folder paths in Install Plugin from Source\n\n""Install Plugin from Source"" now accepts local folder paths (file:// URIs,\nabsolute paths, and ~-prefixed paths) in addition to GitHub shorthand and\ngit URLs. Local folders are inspected to route them to the right setting: a\nmarketplace (has marketplace.json) is registered under chat.plugins.marketplaces,\nwhile a standalone plugin (has a single-plugin manifest) is registered under\nchat.pluginLocations.\n\nAlso consolidates installPluginFromSource and installPluginFromValidatedSource\ninto a single result-returning installPluginFromSource; callers now surface\nsource-level error messages themselves.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>', 'Address review: verify trust before persisting local marketplace\n\nDeclining the trust prompt for a local folder that is a marketplace no longer\npersists it under chat.plugins.marketplaces; the trust check now runs before\nconfig is written, mirroring the git path. Also fixes a chat.plugins.marketplaces\ndoc typo in AGENTS_PLUGINS.md.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']"
microsoft/vscode,324118,7,"['src/vs/sessions/LAYOUT.md', 'src/vs/sessions/LAYOUT_CONTROLLER.md', 'src/vs/sessions/contrib/browserView/browser/sessionBrowserView.ts', 'src/vs/sessions/contrib/layout/browser/baseSessionLayoutController.md', 'src/vs/sessions/contrib/layout/browser/baseSessionLayoutController.ts', 'src/vs/sessions/contrib/layout/test/browser/baseSessionLayoutController.test.ts', 'src/vs/sessions/contrib/layout/test/browser/layoutControllerTestUtils.ts']","['_resolveOwningSession', 'timeout']",120,48,"['Fix browser behaviors in agents window', 'feedback']"
microsoft/vscode,324117,5,"['extensions/copilot/package.json', 'extensions/copilot/src/extension/byok/vscode-node/openAIProvider.ts', 'extensions/copilot/src/extension/byok/vscode-node/test/openAIProvider.spec.ts', 'extensions/copilot/src/platform/endpoint/node/responsesApi.ts', 'extensions/copilot/src/platform/endpoint/node/test/responsesApi.spec.ts']",['createModelInfo'],118,3,"['Add zero data retention configuration and tests for OpenAI provider', 'Fix error handling in OpenAIResponsesProcessor to return terminal ServerError completion', ""Merge branch 'main' into agents/investigate-failing-unit-test-fix""]"
microsoft/vscode,324116,4,"['src/vs/platform/agentHost/common/sessionDataService.ts', 'src/vs/platform/agentHost/node/sessionDatabase.ts', 'src/vs/platform/agentHost/test/common/sessionTestHelpers.ts', 'src/vs/platform/agentHost/test/node/sessionDatabase.test.ts']","['isFileReviewed', 'unmarkFileReviewed', 'KEY', 'markFileReviewed', 'dbRun', 'getReviewedFilesForUri', 'toReviewedFileRecord', 'getReviewedFiles']",202,3,['AgentHost - add table to store reviewed files']
microsoft/vscode,324114,0,[],[],0,0,"['Add bilingual labels for settings UI', 'Revert ""Add bilingual labels for settings UI""\n\nThis reverts commit 23278d1cd00c952a18882316d2866fda61272c3d.']"
microsoft/vscode,324111,1,['extensions/vscode-api-tests/src/singlefolder-tests/browser.test.ts'],[],1,1,['Skip flaky test']
microsoft/vscode,324109,1,['src/vs/workbench/contrib/browserView/electron-browser/features/browserRemoteFeatures.ts'],[],2,1,"['Enable remote proxying by default in Insiders', ""Merge branch 'main' into kycutler/remotedefault""]"
microsoft/vscode,324108,1,['src/vs/workbench/contrib/browserView/electron-browser/media/browser.css'],[],1,1,"[""Browser: don't oversize the placeholder when DevTools is docked inline""]"
microsoft/vscode,324106,1,['src/vs/workbench/contrib/chat/browser/widget/media/chat.css'],[],1,1,"['remove padding from changed view to make it aligned with rest of chat', ""Merge branch 'main' into justin/cinderace""]"
microsoft/vscode,324105,7,"['build/agent-sdk/agents/claude/package-lock.json', 'build/agent-sdk/agents/claude/package.json', 'package-lock.json', 'package.json', 'src/vs/platform/agentHost/test/node/claudeAgent.integrationTest.ts', 'src/vs/platform/agentHost/test/node/claudeAgent.test.ts', 'src/vs/platform/agentHost/test/node/claudeSdkPipeline.test.ts']",[],89,74,"['Bump @anthropic-ai/claude-agent-sdk to 0.3.198\n\nBumps the pinned Claude agent SDK from 0.3.187 to 0.3.198 following\nbuild/agent-sdk/README.md: updates the exact version in the build\nagent-sdk pin and its lockfile, plus the matching root devDependency\ntypes pin and root lockfile so shipped types and the build-time pin\nstay in lockstep.\n\nCo-Authored-By: Claude Opus 4.8 <noreply@anthropic.com>', 'Implement Query.reinitialize in test fakes\n\n0.3.198 adds reinitialize() to the SDK\'s Query interface. Add the\nmatching stub to the three test doubles that implement Query\n(FakeQuery, RoundTripQuery, ImmediatelyDoneQuery), following each\nfile\'s existing ""not modeled"" pattern.\n\nCo-Authored-By: Claude Opus 4.8 <noreply@anthropic.com>']"
microsoft/vscode,324104,3,"['src/vs/sessions/contrib/providers/agentHost/browser/media/openSubagentChat.css', 'src/vs/workbench/contrib/chat/browser/widget/chatContentParts/chatSubagentContentPart.ts', 'src/vs/workbench/contrib/chat/browser/widget/chatContentParts/media/chatSubagentContent.css']",[],16,9,"['fix subagent header bug', 'address comments', 'make margin smaller']"
microsoft/vscode,324103,8,"['src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostSessionHandler.ts', 'src/vs/workbench/contrib/chat/browser/widget/chatContentParts/chatMcpServersStartingContentPart.ts', 'src/vs/workbench/contrib/chat/browser/widget/chatListRenderer.ts', 'src/vs/workbench/contrib/chat/common/chatService/chatService.ts', 'src/vs/workbench/contrib/chat/common/model/chatModel.ts', 'src/vs/workbench/contrib/chat/common/model/chatSessionOperationLog.ts', 'src/vs/workbench/contrib/chat/common/model/chatViewModel.ts', 'src/vs/workbench/contrib/chat/test/browser/widget/chatContentParts/chatMcpServersStartingContentPart.test.ts']","['render', 'createPart', '_renderMessage']",242,9,"['chat: show ""Starting MCP servers…"" hint for slow agent-host startup\n\nWhen a new agent-host turn begins and one or more MCP servers stay in the\n`starting` state past a short grace period (5s) without any content arriving\nfrom the host, surface a lightweight progress hint listing the servers still\nstarting. The hint is observable-backed: it updates as servers finish and hides\nitself once every server has started, content starts being received, or the\nturn ends — whichever happens first. There is no interactive affordance (no\n""Skip"").\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>', 'Potential fix for pull request finding\n\nCo-authored-by: Copilot Autofix powered by AI <175728472+Copilot@users.noreply.github.com>']"
microsoft/vscode,324099,27,"['src/vs/platform/agentHost/common/agentHostCustomizationConfig.ts', 'src/vs/platform/agentHost/common/agentService.ts', 'src/vs/platform/agentHost/common/copilotCliConfig.ts', 'src/vs/platform/agentHost/node/agentConfigurationService.ts', 'src/vs/platform/agentHost/node/copilot/copilotAgent.ts', 'src/vs/platform/agentHost/node/copilot/copilotAgentSession.ts', 'src/vs/platform/agentHost/node/copilot/copilotSessionLauncher.ts', 'src/vs/platform/agentHost/node/copilot/prompts/AGENTS.md', 'src/vs/platform/agentHost/node/copilot/prompts/anthropicPrompt.ts', 'src/vs/platform/agentHost/node/copilot/prompts/promptRegistry.ts', 'src/vs/platform/agentHost/node/copilot/sandboxConfigForSdk.ts', 'src/vs/platform/agentHost/test/common/copilotCliConfig.test.ts', 'src/vs/platform/agentHost/test/node/agentHostPromptRegistry.test.ts', 'src/vs/platform/agentHost/test/node/copilotAgent.test.ts', 'src/vs/platform/agentHost/test/node/copilotAgentSession.test.ts', 'src/vs/platform/agentHost/test/node/copilotSessionLauncher.test.ts', 'src/vs/platform/agentHost/test/node/protocol/realSdkTestHelpers.ts', 'src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostCopilotCliSettingsContribution.ts', 'src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostCopilotPromptContribution.ts', 'src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostRootConfigForwarder.ts', 'src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostTerminalContribution.ts', 'src/vs/workbench/contrib/chat/browser/chat.shared.contribution.ts', 'src/vs/workbench/contrib/chat/electron-browser/chat.contribution.ts', 'src/vs/workbench/contrib/chat/test/browser/agentSessions/agentHostCopilotCliSettingsContribution.test.ts', 'src/vs/workbench/contrib/chat/test/browser/agentSessions/agentHostTerminalContribution.test.ts', 'src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/agentHostSandboxForwarder.ts', 'src/vs/workbench/contrib/terminalContrib/chatAgentTools/test/browser/agentHostSandboxForwarder.test.ts']","['_updateEnabled', 'isObject', 'flush', 'makeRootStateWithSchema', '_schemaHasKey', 'setup', 'getCopilotReasoningEffort', 'getModelFamilyAlias', 'context', '_push', '_pushOnSettingChange', '_registerLocalEntry', '_onRootStateChanged']",669,386,"['Copilot CLI agent-host: experimentation overrides + config split\n\nPorts reasoningEffortOverride and modelCapabilityOverrides from the Copilot\nChat extension to the Copilot CLI agent-host provider, and splits\nCopilot-CLI-specific root-config keys into a dedicated schema.\n\n- New settings chat.agentHost.reasoningEffortOverride and\n  chat.agentHost.modelCapabilityOverrides (experimental/advanced), forwarded\n  into the local agent host root config.\n- New copilotCliConfig module owns CLI-only keys; opus48Prompt,\n  enableCustomTerminalTool, rubberDuck moved out of the shared schema (wire\n  strings unchanged, so persisted config stays valid).\n- Reasoning-effort override applied at session create and mid-session model\n  change; family alias applied for prompt routing only (wire model id\n  untouched).\n- Shared AgentHostRootConfigForwarder de-duplicates the settings->root-config\n  forwarding (schema gate, hydration retry, cross-window loop guard).', 'agentHost: consolidate CLI setting IDs, extract sandbox forwarder, trim comments\n\n- Move the chat.agentHost.* Copilot-CLI setting IDs into copilotCliConfig.ts\n  beside their root-config keys; rename the prompt contribution to\n  AgentHostCopilotCliSettingsContribution.\n- Extract the sandbox settings forwarding into AgentHostSandboxForwarder.\n- Trim verbose doc/inline comments across the changed agent-host files.', 'agentHost: revert comment-only changes in agentHostSandboxForwarder (keep import change only)', 'agentHost: clarify reasoning-effort override wording (recognized level vs model-supported)']"
microsoft/vscode,324096,6,"['src/vs/editor/contrib/find/browser/findController.ts', 'src/vs/editor/contrib/find/browser/findModel.ts', 'src/vs/editor/contrib/find/browser/findState.ts', 'src/vs/editor/contrib/find/browser/findWidget.css', 'src/vs/editor/contrib/find/browser/findWidget.ts', 'src/vs/editor/contrib/find/test/browser/findModel.test.ts']","['ignoreFoldedRegions', '_moveToPrevMatch', '_getNextMatch', 'toggleIgnoreFoldedRegions']",163,12,"['feat(find): add option to ignore folded regions in find widget', ""Merge branch 'main' into feature/ignore-folded-regions-in-find""]"
